X,Y,OBJECTID,NrRNAL,Denominacao,DataRegisto,DataAberturaPublico,Modalidade,NrUtentes,Email,Endereco,CodigoPostal,LOCALIDADE,LatLong,FiabilidadeGeo,DTMNFR,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,ERT,SeloCleanSafe
-868235.5977,4448818.1557,180,273,Ronaldo da Silva,2010/05/24 00:00:00+00,2010/05/24 00:00:00+00,Moradia,12,r2sconstrucoes@gmail.com,Urbanização Encosta do Brejo Lt. 35  ,8700-274,Quelfes,"37,0696400007615 ; -7,79949307668966",NaoFiavel,081008,Moncarapacho,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-995795.217099998,4440356.7277,181,274,Casa Batista 2,2009/11/10 00:00:00+00,2009/11/10 00:00:00+00,Moradia,4,ramos_apo@hotmail.com,1ª Rua do Tonel   ,8650-376,Sagres,"37,0089668751176 ; -8,94538063373853",NaoFiavel,081504,Sagres,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-846436.558499999,4457939.8716,182,275,Tamboril,2014/08/04 00:00:00+00,2014/08/04 00:00:00+00,Apartamento,4,info@marsalgarve.com,Rua da Canada 6 1 Esq,8800-591,Cabanas,"37,1349934318212 ; -7,60366897499072",Fiavel,081413,Cabanas de Tavira,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1045314.1507,4692882.0157,183,276,Casas da Biquinha,2014/12/04 09:35:00+00,2014/12/04 00:00:00+00,Apartamento,2,datasacetinadas@gmail.com,Estrada da Macieira 8 1 ,2710-612,Sintra,"38,79872842275 ; -9,39021678294265",NaoFiavel,111128,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Sintra,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-995795.217099998,4440356.7277,184,277,Casa Baptista 1,2009/11/10 00:00:00+00,2009/11/10 00:00:00+00,Moradia,4,ramos_apo@hotmail.com,1ª Rua do Tonel   ,8650-376,Sagres,"37,0089668751176 ; -8,94538063373853",NaoFiavel,081504,Sagres,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1016149.606,4680637.1138,185,278,Alfama - Lisbon Lounge Suites,2014/11/12 00:00:00+00,2014/11/12 00:00:00+00,Apartamento,10,nevesrobalo@sapo.pt,Rua Escolas Gerais 38 1º ,1100-216,Lisboa,"38,7129498614874 ; -9,12822722032607",Fiavel,110665,Santa Maria Maior,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-873809.077799998,4442541.5634,186,279,Marina Village,2013/02/28 00:00:00+00,2013/02/28 00:00:00+00,Apartamento,4,nelia@nfea.pt,Urbanização Village Marina Lt. 12 Fracção G ,8700-292,Olhão,"37,0246380004693 ; -7,84956049964025",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-858766.419399999,4456794.165,188,281,Casa Holt,2012/12/06 00:00:00+00,2012/12/06 00:00:00+00,Moradia,8,faf.construcao@gmail.com,Zona Poço das Bruxas   ,8800-506,Igreja,"37,1267880007602 ; -7,71443000003082",NaoFiavel,081416,Santo Estêvão,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-974008.519400001,4546857.8378,190,283,Apartamentos Monte da Rosa,2014/11/07 00:00:00+00,2014/11/07 00:00:00+00,Apartamento,4,geral@apartamentosmontedarosa.com,Urbanização Monte da Rosa 5  ,7645-284,Vila Nova de Milfontes,"37,7690950005031 ; -8,74966739869657",NaoFiavel,021111,Vila Nova de Milfontes,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Sim
-1007311.1623,4705435.5968,191,284,Hospedaria Alfa 10,2009/06/05 00:00:00+00,2009/06/05 00:00:00+00,EstabelecimentoHospedagem,31,geral@alfa10.pt,Estrada Alfarrobeira 10 A  ,2615-034,Alverca do Ribatejo,"38,8865623019951 ; -9,04883012961466",NaoFiavel,111413,União das freguesias de Alverca do Ribatejo e Sobralinho,Vila Franca de Xira,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-978128.517200001,4540603.3692,194,287,VILLA EIRA,2009/02/16 00:00:00+00,2017/01/16 00:00:00+00,EstabelecimentoHospedagem,8,sergio.azevedo@villaeira.pt,Rua EIRA DA PEDRA-B   ,7645-909,VILA NOVA DE MILFONTES,"37,7246683578528 ; -8,78667796874175",NaoFiavel,021111,Vila Nova de Milfontes,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Sim
-845450.780499998,4458605.8735,195,288,Cabanas Gardens,2012/11/22 00:00:00+00,2017/08/01 00:00:00+00,Apartamento,2,algartur@gmail.com,Largo Miguel Ferreira Batista 1 2 I,8800-595,Cabanas,"37,1397628593008 ; -7,59481358115718",Fiavel,081413,Cabanas de Tavira,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-821179.9736,4778220.1712,196,289,Casa da João,2005/08/18 00:00:00+00,2005/08/18 00:00:00+00,Moradia,4,joao_carlos64@sapo.pt,1ª Travessa Santiago 1  ,7330-127,Marvão,"39,3936758609673 ; -7,37678521276972",NaoFiavel,121002,Santa Maria de Marvão,Marvão,Portalegre,Alto Alentejo,Alentejo,Turismo do Alentejo,Sim
-924665.275899999,4975868.166,197,290,CASA DA ENCOSTA,2012/09/03 00:00:00+00,2012/09/03 00:00:00+00,Moradia,4,fecha@sapo.pt,Rua CANASTRO   ,3740-036,Couto de Baixo,"40,752258001072 ; -8,30640950047067",NaoFiavel,011702,Couto de Esteves,Sever do Vouga,Aveiro,Região de Aveiro,Centro,Turismo do Centro de Portugal,Não
-1000901.8006,4715008.0183,198,292,SUITES & APARTMENTS DP VFXIRA,2014/05/26 00:00:00+00,2017/08/21 00:00:00+00,EstabelecimentoHospedagem,49,hosteldomusplaza@gmail.com,Rua António Palha 2 1º ,2600-104,Vila Franca de Xira,"38,9534649641627 ; -8,99125385395739",NaoFiavel,111409,Vila Franca de Xira,Vila Franca de Xira,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-845419.965799998,4458599.8119,199,293,CABANAS GARDENS LOTE I FRAÇÃO C,2012/11/22 00:00:00+00,2012/11/22 00:00:00+00,Apartamento,2,amousinho@mychoice.pt,Largo Miguel Ferreira Batista 2 1 C,8800-595,Cabanas,"37,1397194516564 ; -7,59453676765085",Fiavel,081413,Cabanas de Tavira,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Sim
-924514.8554,4457003.1786,201,296,Quinta de Vale Verde - Apartamento B,2003/04/09 00:00:00+00,2014/04/07 00:00:00+00,Apartamento,9,sem.mail@mail.pt,Estrada Nacional 125 Apt B  ,8200-413,Guia,"37,1282850006507 ; -8,30505824993533",NaoFiavel,080102,Guia,Albufeira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-854696.395300001,4452190.3224,202,297,Santos Seca e Oliveira Lda,2014/07/31 00:00:00+00,2018/01/01 00:00:00+00,Moradia,2,santosseca.oliveira@gmail.com,Aldeamento Pedras D'El Rei 137 F  ,8800-531,Aldeamento das Pedras D'El Rei,"37,0938067895696 ; -7,67786835217534",NaoFiavel,081408,Santa Luzia,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1045318.0078,4692849.9218,203,299,Casas da Biquinha,2014/12/04 10:00:21+00,2014/12/04 00:00:00+00,Apartamento,2,datasacetinadas@gmail.com,Travessa Macieira 1  ,2710-612,Sintra,"38,7985037320317 ; -9,39025143129409",NaoFiavel,111128,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Sintra,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-1019286.4739,4680788.2803,204,302,Estrela,2014/12/04 10:44:35+00,2015/01/01 00:00:00+00,Apartamento,4,romero.mtg@gmail.com,Rua Ferreiros à Estrela 67 r/c ,1200-672,Lisboa,"38,7140094484044 ; -9,15640618421661",Fiavel,110660,Estrela,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-992066.173700001,4450525.7562,205,303,Casa San Miguel,2010/07/13 00:00:00+00,2010/07/13 00:00:00+00,Moradia,4,ballidu7@gamil.com,Urbanização Monte Rui Vaz Lt. 7  ,8650-000,Barão de São Miguel,"37,0818785615235 ; -8,91188206656573",NaoFiavel,081506,Vila do Bispo e Raposeira,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-871301.884599999,4448274.2007,206,308,Mãe Home,2013/12/09 00:00:00+00,2013/12/09 00:00:00+00,Moradia,4,kaja-decoz@gmail.com,Zona Boavista   ,8700-206,Boavista,"37,0657410006129 ; -7,82703800016578",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-827339.368700001,4763614.282,207,311,Hostel Portalegre,1950/10/10 00:00:00+00,2013/10/10 00:00:00+00,EstabelecimentoHospedagemHostel,28,hostelportalegre@gmail.com,Rua Benvindo Ceia 2  ,7300-128,Portalegre,"39,2922050004492 ; -7,43211600039827",Fiavel,121411,União das freguesias da Sé e São Lourenço,Portalegre,Portalegre,Alto Alentejo,Alentejo,Turismo do Alentejo,Sim
-868639.400699999,4445684.276,208,312,Casa Formosa,2013/12/09 00:00:00+00,2013/12/09 00:00:00+00,Moradia,4,tome.joel@gmail.com,Estrada Quatrim-Caminho do Buraco Cx.P.228C  ,8700-217,Olhão,"37,0471740010504 ; -7,80312050013974",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-851356.9703,4456232.8469,209,314,Apartamentos Gharb Diem,2014/07/25 00:00:00+00,2014/07/25 00:00:00+00,Apartamento,2,apartamentosgd@gmail.com,Rua Poço do Bispo 48 r/c ,8800-421,Tavira,"37,1227675740501 ; -7,64786978635274",NaoFiavel,081412,União das freguesias de Tavira (Santa Maria e Santiago),Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-873118.718199998,4442521.8473,210,315,"Sovipral,Lda.",2014/01/09 00:00:00+00,2014/01/09 00:00:00+00,Moradia,1,sovipral.homes@gmail.com,Travessa João da Carma 4  ,8700-559,Olhão,"37,0244965976629 ; -7,84335889432968",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-985714.272599999,4467951.1146,213,320,VIVENDA ATLÂNTICO,2012/01/10 00:00:00+00,2012/01/10 00:00:00+00,Moradia,6,office@calculosevirgulas.pt,Zona Hortas do Rio - Carrapateira   ,8671-909,Carrapateira,"37,206655047828 ; -8,85482196874074",NaoFiavel,080302,Bordeira,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-983522.366500001,4448908.4314,214,321,Quinta das Figueiras,2009/09/11 00:00:00+00,2009/09/11 00:00:00+00,Moradia,6,quintadasfigueiras@hotmail.com,Zona Figueiral   ,8650-000,Figueira,"37,0702870658426 ; -8,83513174091565",Fiavel,081502,Budens,Vila do Bispo,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-982483.506200001,4472354.5761,215,322,Herdade do Polvo,2012/02/06 00:00:00+00,2012/02/06 00:00:00+00,Moradia,13,leisteen@yahoo.com,Zona  Cadaveiro   ,8670-142,Monte da Vinha,"37,2381540008344 ; -8,82579949981787",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-848026.537500001,5010106.1193,216,323,Pico do Meio Dia,2012/12/31 00:00:00+00,1989/01/31 00:00:00+00,EstabelecimentoHospedagem,17,picodomeiodia1@gmail.com,Avenida 25 de Abril 95  ,3620-304,Moimenta da Beira,"40,9848419999744 ; -7,61795199989173",Fiavel,180710,Moimenta da Beira,Moimenta da Beira,Viseu,Douro,Norte,Turismo do Porto e Norte de Portugal,Não
-872665.237500001,4442861.7734,217,324,Entrecubos Guesthouse,2013/04/24 00:00:00+00,2013/04/24 00:00:00+00,Apartamento,4,luisviegas.ocm@gmail.com,Rua Lavadeiras 7 Fracção E ,8700-403,Olhão,"37,0269344925679 ; -7,83928520783113",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-978126.850900002,4540604.4449,218,327,Casa Firmino,2013/11/14 00:00:00+00,2013/11/14 00:00:00+00,Apartamento,2,helenaefirmino@gmail.com,"1ª Rua Eira da Pedra, Fração AF Letra   ",7645-258,Vila Nova de Milfontes,"37,7246760007694 ; -8,78666299982349",NaoFiavel,021111,Vila Nova de Milfontes,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Não
-985441.543299999,4482372.7173,219,328,Casa João Neutel,2011/05/31 00:00:00+00,2011/05/31 00:00:00+00,Moradia,8,anasantosneutel@gmail.com,"Urbanização Vale da Telha,SectorL,Lote 182   ",8670-156,Aljezur,"37,3097670011646 ; -8,85237199958253",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-854696.395300001,4452190.3224,220,329,Apartamento 45,2014/07/17 00:00:00+00,2014/07/17 00:00:00+00,Apartamento,1,eduverissimo@live.com.pt,Aldeamento Pedras D'El Rei Bloco G7 r/c A7,8800-531,Aldeamento das Pedras D'El Rei,"37,0938067895696 ; -7,67786835217534",NaoFiavel,081408,Santa Luzia,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-854696.395300001,4452190.3224,221,331,Vila 188-A,2014/07/17 00:00:00+00,2014/07/17 00:00:00+00,Moradia,4,eduverissimo@live.com.pt,Aldeamento Pedras D'El Rei 188 r/c ,8800-531,Aldeamento das Pedras D'El Rei,"37,0938067895696 ; -7,67786835217534",NaoFiavel,081408,Santa Luzia,Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-851470.013099998,4457085.6709,222,333,Maria Rosa Pereira Domingos,2014/07/09 00:00:00+00,2014/07/09 00:00:00+00,Apartamento,8,alojamentosrosa@sapo.pt,Travessa Fumeiros de Diante 11 1º ,8800-666,Tavira,"37,1288758200968 ; -7,64888526720247",NaoFiavel,081412,União das freguesias de Tavira (Santa Maria e Santiago),Tavira,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-862582.043200001,4446494.6896,223,335,Cristina Inês Steingraber,2013/12/09 00:00:00+00,2013/12/09 00:00:00+00,Apartamento,4,info@visit-eastalgarve.com,Rua Nossa Senhora Carmo 71 a 87 Fracção AD Ent.B,8700-024,Fuseta,"37,0529842912739 ; -7,74870633204898",NaoFiavel,081007,Fuseta,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1020000.234,4792482.5413,225,339,The Fig Boutique Suites,2009/06/25 00:00:00+00,2017/01/16 00:00:00+00,Moradia,10,lhudsonwyse@gmail.com,Casal Custódios 2  ,2500-658,Salir do Porto,"39,4926180006676 ; -9,16281800047472",NaoFiavel,100619,União das freguesias de Tornada e Salir do Porto,Caldas da Rainha,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-986802.090100002,4480266.8196,226,341,BECO DA LIBERDADE - CASA JORGE,2013/12/18 00:00:00+00,2013/12/18 00:00:00+00,Moradia,2,pedrojfdias@hotmail.com,Zona Praia da Arrifana   ,8670-111,Praia da Arrifana,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-958703.912799999,5033941.7785,227,342,Casa Almada,2014/12/15 15:21:36+00,2014/12/15 00:00:00+00,Apartamento,3,marthaappelt@gmail.com,Rua Almada 18 4.º  Dto. ,4050-036,Porto,"41,1462789610522 ; -8,61218377776377",NaoFiavel,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Turismo do Porto e Norte de Portugal,Não
-962119.265000001,4522455.2994,228,344,CASA BOA KOSTER,2014/02/24 00:00:00+00,2014/02/24 00:00:00+00,Moradia,2,solange@mbservicesportugal.com,Rua Ventosa 21  ,7630-155,Odemira,"37,5956083810995 ; -8,64286440910148",NaoFiavel,021120,São Salvador e Santa Maria,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Não
-819666.5614,4778879.5047,229,345,Quinta do Barrieiro,2011/03/01 00:00:00+00,2016/06/01 00:00:00+00,EstabelecimentoHospedagem,20,info@quintadobarrieiro.com,Estrada Estrada Reveladas 10  ,7330-336,Alvarrões,"39,3982529447032 ; -7,36319000012948",NaoFiavel,121003,Santo António das Areias,Marvão,Portalegre,Alto Alentejo,Alentejo,Turismo do Alentejo,Sim
-986802.090100002,4480266.8196,230,347,BECO DA LIBERDADE - CASA GILBERTA,2013/12/18 00:00:00+00,2013/12/18 00:00:00+00,Moradia,2,pedrojfdias@hotmail.com,Zona Praia da Arrifana   ,8670-111,Praia da Arrifana,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-990166.888799999,4464923.6109,231,348,Casa Sítio do Castelo - F,2014/03/31 00:00:00+00,2014/03/31 00:00:00+00,Apartamento,2,office@rathenau.com,Zona Sítio do Castelo   ,8670-230,Carrapateira,"37,1849910009461 ; -8,89482050022339",NaoFiavel,080302,Bordeira,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1038149.0172,4774588.4624,232,349,BALEAL SOL ALOJAMENTOS - 2,2014/12/15 15:43:59+00,2014/12/15 00:00:00+00,Apartamento,4,balealsol@hotmail.com,Avenida Mar 87 R/Chão Centro,2520-101,Ferrel,"39,3684592090284 ; -9,32585129343703",Fiavel,101406,Ferrel,Peniche,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-1015822.8698,4680708.2389,233,353,Remedios IV,2014/01/29 00:00:00+00,2014/02/01 00:00:00+00,Apartamento,10,apart_lisbon@sapo.pt,Rua Remedios 185 4º ,1100-447,Lisboa,"38,7134484077524 ; -9,12529209861364",Fiavel,110667,São Vicente,Lisboa,Lisboa,Grande Lisboa,Grande Lisboa,Entidade Regional de Turismo da Região de Lisboa,Não
-959593.157600001,4541766.0344,234,354,CASA DOS ANÕES,2013/05/14 00:00:00+00,2014/07/07 00:00:00+00,Moradia,4,casadosanoes@gmail.com,Campo POLDREIRINHSO DE BAIXO   ,7630-446,Lameiros,"37,7329290010633 ; -8,6201719998008",NaoFiavel,021106,São Luís,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Não
-1038160.1517,4774563.9822,235,355,BALEAL SOL ALOJAMENTOS - 3,2014/12/15 16:02:05+00,2014/12/15 00:00:00+00,Apartamento,4,balealsol@hotmail.com,Avenida Mar 87 R/Chão Esquerdo,2520-101,Ferrel,"39,3682892008671 ; -9,32595131663878",Fiavel,101406,Ferrel,Peniche,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-986802.090100002,4480266.8196,236,356,BECO DA LIBERDADE - CASA FRANCELINO,2013/12/18 00:00:00+00,2013/12/18 00:00:00+00,Moradia,2,pedrojfdias@hotmail.com,Zona Praia da Arrifana   ,8670-111,Praia da Arrifana,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-873809.077799998,4442541.5634,237,358,Karen Mc Donagh,2012/12/11 00:00:00+00,2012/12/11 00:00:00+00,Apartamento,8,nma.portugal@nmassociados.com,Urbanização Village Marina Lt. 16  Fração I,8700-292,Olhão,"37,0246380004693 ; -7,84956049964025",NaoFiavel,081003,Olhão,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-1038157.2107,4774563.7263,238,360,BALEAL SOL ALOJAMENTOS - 6,2014/12/15 16:18:59+00,2014/12/15 00:00:00+00,Apartamento,2,balealsol@hotmail.com,Avenida Mar 87 1.º andar Direito,2520-101,Ferrel,"39,3682874235612 ; -9,32592489720636",Fiavel,101406,Ferrel,Peniche,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-1038154.2699,4774563.4703,239,361,BALEAL SOL ALOJAMENTOS - 5,2014/12/15 16:35:58+00,2014/12/15 00:00:00+00,Apartamento,4,balealsol@hotmail.com,Avenida Mar 87 1.º andar Centro,2520-101,Ferrel,"39,3682856462374 ; -9,3258984789353",Fiavel,101406,Ferrel,Peniche,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-1038149.8566,4774562.9389,241,364,BALEAL SOL ALOJAMENTOS - 4,2014/12/15 16:51:21+00,2014/12/15 00:00:00+00,Apartamento,4,balealsol@hotmail.com,Avenida Mar 87 1.º andar Esquerdo,2520-101,Ferrel,"39,3682819554517 ; -9,3258588335147",Fiavel,101406,Ferrel,Peniche,Leiria,Oeste,Oeste e Vale do Tejo,Turismo do Centro de Portugal,Não
-837434.988899998,4462612.4869,242,369,alojamento local,2014/11/06 00:00:00+00,2014/11/06 00:00:00+00,Apartamento,3,apt.mantamar@gmail.com,3ª Rua Dr. Luis Medeiros Antunes 102  ,8900-038,Manta Rota,"37,1684490009551 ; -7,52280649967277",NaoFiavel,081601,Vila Nova de Cacela,Vila Real de Santo António,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-978043.445700001,4540617.5712,243,370,Casa da Costa,2010/12/23 00:00:00+00,2010/12/23 00:00:00+00,Apartamento,4,info@casadoadro.com.pt,Rua da Eira da Pedra 50 R/C ,7645-258,Vila Nova de Milfontes,"37,7247692675803 ; -8,78591375781856",NaoFiavel,021111,Vila Nova de Milfontes,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Não
-986802.090100002,4480266.8196,244,373,Casa das Estevas,2011/07/04 00:00:00+00,2011/07/04 00:00:00+00,Moradia,6,casasdomar@hotmail.com,"Urbanização Alto da Arrifana, Lt 20   ",8670-111,Aljezur,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,245,374,Orbitur,2013/12/27 00:00:00+00,2013/12/27 00:00:00+00,Apartamento,2,orbiturporto@orbitur.pt,Ilha da Armona 228C  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,246,375,Orbitur,2013/12/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,2,orbiturporto@orbitur.pt,Ilha da Armona 222C  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-862559.872499999,4446908.9339,247,376,Estúdios salinas Piso 2-5,2013/06/29 00:00:00+00,2013/06/29 00:00:00+00,Apartamento,2,sulprojectos.ida@mail.telepac.pt,Largo da Igreja 1  ,8700-018,Fuseta,"37,055954058617 ; -7,74850716919113",NaoFiavel,081007,Fuseta,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-864504.6609,4445828.6323,248,378,Mr. Simon Blowman-Fuzeta-Ria Resort,2012/03/27 00:00:00+00,2012/03/27 00:00:00+00,Apartamento,4,s-blowman@hotmail.com,Urbanização Arte Nova Lt. 6 R/c Esq.,8700-067,Bias do Sul,"37,0482090008702 ; -7,76597750053699",NaoFiavel,081008,Moncarapacho,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,249,379,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 221D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-984530.760600001,4486392.1095,250,380,Casa Espartal Villa 25 AL,2011/06/17 00:00:00+00,2011/06/17 00:00:00+00,Moradia,10,geral@cm-aljezur.pt,"Urbanização Espartal, lote C 25   ",8670-119,Aljezur,"37,3384797988876 ; -8,84419029937948",Fiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,251,381,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 220D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,252,382,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 215D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,253,383,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 219D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,254,384,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 218D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-986802.090100002,4480266.8196,255,385,Casa Nova ,2010/12/22 00:00:00+00,2010/12/22 00:00:00+00,Moradia,4,arrifamar@hotmail.com,Zona Praia da  Arrifana    ,8670-111,Aljezur,"37,2947190005787 ; -8,86459399976558",NaoFiavel,080301,Aljezur,Aljezur,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-862559.872499999,4446908.9339,256,386,Estúdios Salinas Piso 2-1,2013/06/29 00:00:00+00,2013/06/29 00:00:00+00,Apartamento,2,sulprojectos.ida@mail.telepac.pt,Largo da Igreja 1  ,8700-018,Fuseta,"37,055954058617 ; -7,74850716919113",NaoFiavel,081007,Fuseta,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,257,387,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 217D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-868974.4166,4442330.6046,258,388,Orbitur,2013/09/27 00:00:00+00,2013/09/27 00:00:00+00,Apartamento,4,orbiturporto@orbitur.pt,Ilha da Armona 216D  ,8700-000,Olhão,"37,0231250012619 ; -7,80612999955908",NaoFiavel,081005,Quelfes,Olhão,Faro,Algarve,Algarve,Região de Turismo do Algarve,Não
-954393.918900002,4536495.5145,259,390,MONTE DO CASARÃO - CASARÃO VELHO,2008/07/14 00:00:00+00,2009/02/06 00:00:00+00,Moradia,4,w.riemslag@montedocasarao.com,"Estrada Monte do Casarão, Caixa Postal 5578   7630",7630-593,S.TEOTONIO,"37,695475001102 ; -8,57346644418593",NaoFiavel,021102,Relíquias,Odemira,Beja,Alentejo Litoral,Alentejo,Turismo do Alentejo,Não
